course number,course name,credits,prereqs,desc
PHIL 340,"Environmental Ethics",3.0,"No Prereq","This course examines ethical questions about human relations with the nonhuman world. These questions will be informed by assessing sustainable practices, indigenous ways of life, environmental movements, and such issues as biodiversity loss and global climate change."
PHIL 341,"Environmental Philosophy",3.0,"No Prereq","Studies ecological issues from a philosophical standpoint stressing the implications of scientific and technological developments as they affect people's lives and choices."
PHIL 351,"Philosophy of Technology",3.0,"No Prereq","Studies technology from a philosophical standpoint stressing its role in shaping human existence and values, considering issues such as the control and distribution of information, housing and city planning, automation, and the uses of technology in medicine."
PHIL 355,"Philosophy of Medicine",3.0,"No Prereq","Examines the ideas of medicine, disease, and health from a philosophical perspective. Examines such concepts as gender, mental-illness, mind-body unity, aging and physical perfection as derived from both Eastern and Western traditions. Current health policy alternative treatment practices are also discussed."
PHIL 361,"Philosophy of Science",3.0,"No Prereq","Studies natural scientific theory-construction and investigative methods from a philosophical standpoint, considering issues such as the nature and scope of experimental method, and the history and justification of theory change."
PHIL 381   [WI],"Philosophy in Literature",3.0,"No Prereq","Studies philosophical issues such as the concept of the self, the nature and course of evil, the nature and scope of free will, and ideals in living as they appear in significant works of literature."
PHIL 385,"Philosophy of Law",3.0,"No Prereq","This course addresses philosophical issues in the law. Topics include the meaning of "law," the nature and logic of legal (in contrast to moral) concepts and principles, and competing conceptions of law (Natural Law, Positivism, Realism, Rights-Based, etc.). Authors may include Plato, Mill, Rawls, Hart, Dworkin and others."
PHIL 391,"Philosophy of Religion",3.0,"No Prereq","Studies various aspects of religious belief and experience from a philosophical standpoint, considering issues such as the definition and existence of God, the nature and course of evil, and the relationship between faith and reason in a religious life."
PHIL 421,"Seminar in Ancient Philosophy",3.0,"(PHIL 211 [Min Grade: D] or PHIL 212 [Min Grade: D] or PHIL 214 [Min Grade: D] or PHIL 215 [Min Grade: D]) and (PHIL 221 [Min Grade: D] or PHIL 231 [Min Grade: D] or PHIL 241 [Min Grade: D] or PHIL 251 [Min Grade: D])",""
PHIL 431,"Seminar in Modern Philosophy",3.0,"(PHIL 221 [Min Grade: D] or PHIL 231 [Min Grade: D] or PHIL 241 [Min Grade: D] or PHIL 251 [Min Grade: D]) and (PHIL 211 [Min Grade: D] or PHIL 212 [Min Grade: D] or PHIL 214 [Min Grade: D] or PHIL 215 [Min Grade: D])",""
PHIL 461,"Seminar in Contemporary Philosophy",3.0,"(PHIL 211 [Min Grade: D] or PHIL 212 [Min Grade: D] or PHIL 214 [Min Grade: D] or PHIL 215 [Min Grade: D]) and (PHIL 221 [Min Grade: D] or PHIL 231 [Min Grade: D] or PHIL 241 [Min Grade: D] or PHIL 251 [Min Grade: D])",""
PHIL 481   [WI],"Seminar in a Philosophical School",3.0,"(PHIL 121 [Min Grade: D] or PHIL 210 [Min Grade: D] or PHIL 211 [Min Grade: D] or PHIL 212 [Min Grade: D] or PHIL 214 [Min Grade: D] or PHIL 215 [Min Grade: D] or PHIL 216 [Min Grade: D] or PHIL 218 [Min Grade: D] or PHIL 221 [Min Grade: D] or PHIL 231 [Min Grade: D] or PHIL 241 [Min Grade: D] or PHIL 251 [Min Grade: D] or PHIL 255 [Min Grade: D] or PHIL T280 [Min Grade: D] or PHIL 291 [Min Grade: D] or PHIL 301 [Min Grade: D] or PHIL 305 [Min Grade: D] or PHIL 311 [Min Grade: D] or PHIL 315 [Min Grade: D] or PHIL 317 [Min Grade: D] or PHIL 321 [Min Grade: D] or PHIL 323 [Min Grade: D] or PHIL 325 [Min Grade: D] or PHIL 330 [Min Grade: D] or PHIL 335 [Min Grade: D] or PHIL 340 [Min Grade: D] or PHIL 341 [Min Grade: D] or PHIL 351 [Min Grade: D] or PHIL 355 [Min Grade: D] or PHIL 361 [Min Grade: D] or PHIL T380 [Min Grade: D] or PHIL 381 [Min Grade: D] or PHIL 385 [Min Grade: D] or PHIL 391 [Min Grade: D] or PHIL T480 [Min Grade: D] or PHIL 201 [Min Grade: D]) and (PHIL 102 [Min Grade: D] or PHIL 105 [Min Grade: D] or PHIL 110 [Min Grade: D] or PHIL 111 [Min Grade: D] or PHIL 151 [Min Grade: D] or PHIL 101 [Min Grade: D])","Development of doctrines, theories, arguments and problems associated with one or more philosophical schools (or movements). Schools (or movements) may include Pythagoreanism, Platonism, Epicureanism, or recently, Positivism, Pragmatism, and Existentialism. This course is Reading and Writing Intensive."
PHIL 485   [WI],"Seminar in a Major Philosopher",3.0,"(PHIL 121 [Min Grade: D] or PHIL 210 [Min Grade: D] or PHIL 211 [Min Grade: D] or PHIL 212 [Min Grade: D] or PHIL 214 [Min Grade: D] or PHIL 215 [Min Grade: D] or PHIL 216 [Min Grade: D] or PHIL 218 [Min Grade: D] or PHIL 221 [Min Grade: D] or PHIL 231 [Min Grade: D] or PHIL 241 [Min Grade: D] or PHIL 251 [Min Grade: D] or PHIL 255 [Min Grade: D] or PHIL T280 [Min Grade: D] or PHIL 291 [Min Grade: D] or PHIL 301 [Min Grade: D] or PHIL 305 [Min Grade: D] or PHIL 311 [Min Grade: D] or PHIL 315 [Min Grade: D] or PHIL 317 [Min Grade: D] or PHIL 321 [Min Grade: D] or PHIL 323 [Min Grade: D] or PHIL 325 [Min Grade: D] or PHIL 330 [Min Grade: D] or PHIL 335 [Min Grade: D] or PHIL 340 [Min Grade: D] or PHIL 341 [Min Grade: D] or PHIL 351 [Min Grade: D] or PHIL 355 [Min Grade: D] or PHIL 361 [Min Grade: D] or PHIL T380 [Min Grade: D] or PHIL 385 [Min Grade: D] or PHIL 391 [Min Grade: D] or PHIL T480 [Min Grade: D] or PHIL 381 [Min Grade: D] or PHIL 201 [Min Grade: D]) and (PHIL 101 [Min Grade: D] or PHIL 102 [Min Grade: D] or PHIL 105 [Min Grade: D] or PHIL 110 [Min Grade: D] or PHIL 111 [Min Grade: D] or PHIL 151 [Min Grade: D])","Study of the works of a major philosopher such as Plato, Aristotle, Descartes, Locke, Hume, Kant, etc. Reading and Writing Intensive."
PHIL 497   [WI],"Senior Essay I: Research & Thesis Development",3.0,"No Prereq","Individual supervision. Selection of research topic for the senior argumentative essay; collection and analysis of hard-copy and electronic research material; construction of bibliography. Initial thesis formulation and drafting of argument sketch. Writing Intensive."
PHIL 498   [WI],"Senior Essay II: Argument Construction",3.0,"PHIL 497 [Min Grade: D]","Supervised construction of the main and supporting arguments of the senior essay involving drafting and re-drafting of the prose statement. Writing Intensive."
PHIL 499   [WI],"Senior Essay III: Defense",3.0,"PHIL 498 [Min Grade: D]","Individual Supervision. Defense of the senior essay thesis before the philosophy faculty and fellow senior philosophy majors. Written replies to main criticisms as determined by the faculty supervisor. Final submission of senior essay. Writing Intensive."
PHIL I199,"Independent Study in PHIL",1.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
PHIL I299,"Independent Study in PHIL",1.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
PHIL I399,"Independent Study in PHIL",1.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
PHIL I499,"Independent Study in PHIL",1.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
PHIL T180,"Special Topics in Philosophy",1.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PHIL T280,"Special Topics in Philosophy",1.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PHIL T380,"Special Topics in Philosophy",1.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PHIL T480,"Special Topics in Philosophy",1.0-12.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PPE 101,"Introduction to Philosophy, Politics and Economics",3.0,"No Prereq","This course introduces the interdisciplinary major Philosophy, Politics and Economics in two ways: it examines ways of thinking, speaking and researching in each of the three component disciplines, and it applies these overlapping approaches to a set of complex real-world problems."
PPE 450,"Senior Seminar in Philosophy, Politics and Economics",4.0,"PPE 101 [Min Grade: C]","In this capstone seminar course students will use the tools of philosophy, political science, and economics to construct arguments in evaluating and criticizing proposals, methods, and explanations in the three fields, drawing upon each as appropriate. Topics for each term will be chosen by the instructor and may include proposals or instances of public policy, economics, or politics, or particular perspectives, theories, or methods drawn from any of the three fields."
PPE I299,"Independent Study in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Independent research directed by a faculty member."
PPE I399,"Independent Study in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Independent research directed by a faculty member."
PPE I499,"Independent Study in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Independent research directed by a faculty member."
PPE T280,"Special Topics in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PPE T380,"Special Topics in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PPE T480,"Special Topics in Philosophy, Politics and Economics",3.0-4.0,"No Prereq","Topics decided upon by faculty will vary within the area of study."
PHYS 100,"Preparation for Engineering Studies",4.0,"No Prereq","This is a basic mathematics foundational course to prepare the students for the beginning sequence of Engineering Physics. Topics include: simultaneous equations, fundamentals of plane and solid geometry, use of trigonometric functions and vectors and translational kinematics."
PHYS 101,"Fundamentals of Physics I",4.0,"(APPH50 P or PHYS 100 [Min Grade: D] or APC 070) and (MATH 121 [Min Grade: C-] or MATH 117 [Min Grade: C-])","First of a three-course physics sequence introducing mechanics to engineering and science majors. Topics include: Translational kinematics of particles in one and two dimensions. Inertial and non-inertial frames, Newton's laws of motion, force, energy and momentum. Concepts of conservation of energy and momentum. Rotational kinematics and dynamics."
PHYS 102,"Fundamentals of Physics II",4.0,"PHYS 101 [Min Grade: D]","Second of a three-course physics sequence introducing electricity and magnetism to engineering and science majors. Topics include: Electrostatics, Coulomb's law, electric field and flux, and Gauss's law. Electric potential and potential energy and capacitors. Charges in motion, voltage and current measurements. Direct current circuit analysis using Ohm’s law and Kirchhoff’s rules. Sources of magnetic fields, concepts of magnetic flux and electromagnetic induction."
PHYS 105,"Computational Physics I",3.0,"(PHYS 113 [Min Grade: D] or PHYS 101 [Min Grade: D]) and (CS 171 [Min Grade: D] or CS 143 [Min Grade: D] or ENGR 131 [Min Grade: D])","Introduces computational physics. Covers analytical and numerical solutions of equations governing the behavior of physical systems. Includes the use of C/C++ and Python programming methods to solve selected problems. Introduces UNIX, X-windows, programming languages, and visualization and data analysis tools for problems in computational physics. Introduces elementary programming concepts as needed."
PHYS 107,"Acoustics",3.0,"No Prereq","Covers the theory describing sound, behavior and sound waves, resonance and harmonics, frequency analysis, electronic production of sound, sound perception by the human ear, sound recording and reproduction, and room acoustics. Emphasis will be placed on understanding how sound operates in the physical world and how our ears respond to it."
PHYS 113,"Contemporary Physics I",5.0,"No Prereq","Part I in an introductory physics sequence for majors. This course combines the traditional lecture/lab format with real-time numerical simulations designed by the students. Topics include: the fundamental forces, Newton's laws, the atomic nature of matter, work and energy, light, friction, and atomic nuclei."
PHYS 114,"Contemporary Physics II",5.0,"MATH 121 [Min Grade: D] (Can be taken Concurrently)PHYS 113 [Min Grade: D]","Part II in an introductory sequence for majors. This course combines the traditional lecture/lab format with real-time numerical simulations designed by the students. Topics include: angular momentum, entropy, gas dynamics, electric fields, electricity and matter, and electric potential."
PHYS 115,"Contemporary Physics III",5.0,"MATH 122 [Min Grade: D] (Can be taken Concurrently)PHYS 114 [Min Grade: D]","Part III in an introductory sequence for majors. This course combines the traditional lecture/lab format with real-time numerical simulation designed by the students. Topics include: magnetic fields, electronics, radiation, waves and particles, and an introduction to semiconductor devices."
PHYS 128,"Introduction to Experimental Physics",3.0,"PHYS 113 [Min Grade: D] (Can be taken Concurrently)","This course will give students an introduction to all aspects of experimental physics, including experiment theory, laboratory techniques, data analysis, scientific writing, literature research, and presentations. Students are required to perform experiments in physics, such as the Millikan oil-drop experiment, the photoelectric effect measurement, the Michelson interferometer experiment, and radioactivity and spectroscopy measurements. Students are also required to write detailed laboratory reports and give an oral presentation. This is a writing intensive course."
PHYS 131,"Survey of the Universe",3.0,"No Prereq","Provides an overview of modern astronomy, including the scientific method; telescopes; stars and star clusters; stellar evolution; galaxies and the large-scale structure of the universe; and the Big Bang. May also include periodic visits to the university observatory."
PHYS 151,"Applied Physics",3.0,"No Prereq","Non-calculus-based introductory physics for business majors. Covers basic mechanics and simple harmonic motion, followed by an introduction to more advanced topics such as relativity, electromagnetism, and quantum phenomena."
PHYS 152,"Introductory Physics I",4.0,"No Prereq","First part of a three-course algebra-based sequence providing a comprehensive introduction to Physics. Covers basic mechanics, including motion in 1, 2, and 3 Newton's laws, gravitation, energy, momentum, rotational motion and elastic properties of materials. Includes labs to enrich class material. High school physics not required."
PHYS 153,"Introductory Physics II",4.0,"PHYS 152 [Min Grade: D] or PHYS 101 [Min Grade: D]","Second part of a three-course algebra-based sequence providing a comprehensive introduction to Physics. Covers fluids, vibrations, waves, sound, heat and thermodynamics, geometrical optics and optical instrumentation. Includes labs to enrich class material."
PHYS 154,"Introductory Physics III",4.0,"PHYS 101 [Min Grade: D] or PHYS 152 [Min Grade: D]","Third part of a three-course algebra-based sequence providing a comprehensive introduction to Physics. Covers fundamentals of electricity and magnetism, including charges, fields, potential, circuits, magnetic induction, electromagnetic waves, special relativity, and physical optics. Includes labs to enrich class material."
PHYS 160,"Introduction to Scientific Computing",3.0,"No Prereq","Basic introduction to scientific problem solving and numerical modeling of physical system using Excel and Maple."
PHYS 170,"Electricity and Motion",3.0,"No Prereq","With an interactive lecture format and an inquiry-based student-centered recitation, "Electricity and Motion" will give a conceptual introduction to topics in physics such as motion, forces, electricity, and magnetism. Students will complete an interdisciplinary, real-world project that will relate their specific major to an area of physics. Students will also be able to solve one-step algebra problems and conceptually describe topics in physics."
PHYS 171,"Computational Lab for Electricity and Motion",1.0,"No Prereq","Students will experiment with computational methods as they relate to physics topics such as motion, forces, electricity, and magnetism using tools such as Excel, Python, code.org, and Blockscad."
PHYS 172,"Experimental Lab for Electricity and Motion",1.0,"No Prereq","Students will experiment with real world materials as they relate to physics topics such as motion, forces, electricity, and magnetism."
PHYS 175,"Light and Sound",3.0,"No Prereq","With an interactive lecture format and an inquiry-based student-centered recitation, this course will give a conceptual introduction to topics in physics such as waves, sound, light, and color. Students will complete an interdisciplinary, real-world project that will relate their specific major to an area of physics. Students will also be able to solve one-step algebra problems and conceptually describe topics in physics."
PHYS 176,"Computational Lab for Light and Sound",1.0,"No Prereq","Students will experiment with computational methods as they relate to physics topics such as waves, sound, light, and color using tools such as Excel, Python, code.org, and Blockscad."
PHYS 177,"Experimental Lab for Light and Sound",1.0,"No Prereq","Students will experiment with real world materials as they relate to physics topics such as waves, sound, light, and color."
PHYS 181,"Astronomy",3.0,"No Prereq","Provides an overview of modern astronomy, including the scientific method; telescopes; stars and star clusters; stellar evolution; galaxies and the large-scale structure of the universe; and the Big Bang. May also include periodic visits to the university observatory."
PHYS 182,"Applied Physics I",3.0,"MATH 183 [Min Grade: D] or MATH 101 [Min Grade: D] or MATH 102 [Min Grade: D] or MATH 173 [Min Grade: D]","Covers vectors; statics, kinematics, and classical dynamics, including Newton's laws, torque, projectile motion, and circular motion; work; power and energy; impulse and momentum; and rotation, in a non-calculus-based course. Fall."
PHYS 183,"Applied Physics II",3.0,"PHYS 182 [Min Grade: D]","Covers fluids; elasticity; vibration, including simple harmonic motion; sound waves and acoustics; thermodynamics of temperature; heat; thermal-expansion; phase change; and heat transfer, in a non-calculus-based course. Winter."
PHYS 184,"Applied Physics III",3.0,"PHYS 183 [Min Grade: D]","Covers light and illumination, electrostatics, potential, direct-current electrical circuits, magnetic fields, induction, generators, motors, and AC circuits, in a non-calculus-based course. Spring."
PHYS 185,"Fundamentals of Physics Lecture I",3.0,"MATH 121 [Min Grade: D]","First of a three course sequence teaching fundamental physics to engineering and science majors. Topics include: description of motion, inertial and non-inertial frames, special relativity, Newton's Laws, translational and rotational equilibrium, one- and two-dimensional motion, fundamental forces, inverse square laws, Gauss' Law, Bohr's quantization, rotational dynamics, potential energy, black holes, determinism and chaos."
PHYS 186,"Physics I-A",1.0,"PHYS 185 [Min Grade: D] (Can be taken Concurrently)","A companion course for PHYS 185. Students will perform experiments related to Mechanics. Some or all pre-requisites may be taken as either a pre-requisite or co-requisite. Please see the department for more information."
PHYS 188,"Physics II-A",1.0,"PHYS 189 [Min Grade: D] (Can be taken Concurrently)","A companion course for PHYS 189. Students will perform experiments related to Electricity and Magnetism. Some or all pre-requisites may be taken as either a pre-requisite or co-requisite. Please see the department for more information."
PHYS 189,"Fundamentals of Physics Lecture II",3.0,"PHYS 185 [Min Grade: D]","Second of a four course sequence teaching fundamental physics to engineering and science majors. Topics include: electrostatics, capacitors, charges in motion, insulators, semiconductors, voltage and current measurements, magnetism, electromagnetic induction, magnetic materials, quantum dots, magnetic resonance phenomenon."
PHYS 201,"Fundamentals of Physics III",4.0,"PHYS 102 [Min Grade: D] and MATH 122 [Min Grade: D]","Third of the three-course physics sequence introducing waves, relativity, and quantum mechanics to engineering and science majors. Topics include: Maxwell's equations, electromagnetic waves, interference and diffraction of electromagnetic waves. Introduction to special theory of relativity. De Broglie's wave-particle duality hypothesis, Compton scattering, Heisenberg uncertainty principle, and Schrodinger's equation."
PHYS 217,"Thermodynamics",4.0,"MATH 200 [Min Grade: D] (Can be taken Concurrently)(PHYS 114 [Min Grade: D] or PHYS 201 [Min Grade: D])","Covers macro-thermodynamics: temperature, pressure, work, heat, equations of state, the first and second laws of thermodynamics and their applications, heat engines and refrigerators, thermodynamics potentials, Maxwell relations, theory of phase changes, kinetic theory and transport phenomena."
PHYS 226,"Instrumentation for Scientists I",3.0,"No Prereq","Introduces measurement concepts, including a systems approach to analog and digital measurement, amplification and feedback, electrical data domains, measurements of varying analog signals, time domain measurements and conversions, and A/D and D/A conversions."
PHYS 227,"Instrumentation for Scientists II",3.0,"PHYS 226 [Min Grade: D]","Covers optimization of scientific measurements, including systems analysis, signal/noise, control of frequency response, modulation and demodulation, relation of sampling parameters to signal characteristics, and signal-to-noise ratio enhancement."
PHYS 231,"Introductory Astrophysics",3.0,"(PHYS 101 [Min Grade: D] or PHYS 113 [Min Grade: D]) and MATH 121 [Min Grade: D]","An introductory astrophysics course aimed at science majors. Topics include a treatment of orbits, Kepler's laws, celestial coordinates, light, blackbodies, optics, stellar structure and evolution, galactic formation, and large scale evolution and structure of the universe."
PHYS 232,"Observational Astrophysics",3.0,"PHYS 113 [Min Grade: D] and MATH 121 [Min Grade: D]","Covers photometric and spectroscopic properties of stars, galaxies, and quasars and fundamental astrophysics of these objects. The course contains a significant lab component, which includes training in methods of observation, using the Joseph Lynch Observatory on campus to obtain astronomical measurements, and analysis of data."
PHYS 233,"Introduction to Relativity",3.0,"(PHYS 113 [Min Grade: D] or PHYS 101 [Min Grade: D]) and MATH 122 [Min Grade: D]","This course covers foundational concepts in Einstein's Special Theory of Relativity, including the unification of space-time, transformations between inertial frames, relativity of simultaneity, length contraction and time dilation, and transformation between energy and momentum. Introductory concepts in General Relativity will be discussed, including space curvature and weak gravitational fields."
PHYS 262,"Introduction to Biophysics",3.0,"(PHYS 115 [Min Grade: D] or PHYS 201 [Min Grade: D])","This is an introductory course to the wide field of Biophysics. The intended audience is undergraduate physics majors. However, the level and approach is also accessible to undergraduates from other concentrations, including Chemistry and Biology. Students will learn the basic principles behind cells, thermodynamics and statistical mechanics applied to cellular environments, forces affecting conformation of biological molecules, protein and nucleic acid biophysics, membrane biophysics, and basic physics principles behind nerve impulses."
PHYS 280,"Fundamentals of Physics Lecture III",3.0,"PHYS 102 [Min Grade: D] or PHYS 189 [Min Grade: D]","Third of a three course sequence teaching fundamental physics to engineering and science majors. Topics include: oscillations, EM waves, interference, diffraction, wave-particle duality, energy-matter equivalence, uncertainty relations, Schrodinger's equation, Hydrogen atom, laser, and nuclear physics."
PHYS 282,"Fundamentals of Physics Laboratory III",1.0,"PHYS 280 [Min Grade: D] (Can be taken Concurrently)","A companion course for PHYS 280. Students will perform experiments related to Thermodynamics and modern physics. Some or all pre-requisites may be taken as either a pre-requisite or co-requisite. Please see the department for more information."
PHYS 305,"Computational Physics II",3.0,"PHYS 105 [Min Grade: D]","Covers the application of computational techniques to problems in physics, including numerical solution of differential equations, computation and display of particle trajectories in arbitrary potentials, introduction to non-linear dynamics, random numbers and Monte-Carlo methods, and numerical implementation of selected methods in mathematical physics. Emphasizes hands-on experience in problem-solving, using both Maple and C."
PHYS 311,"Classical Mechanics I",4.0,"(PHYS 113 [Min Grade: D] or PHYS 101 [Min Grade: D]) and MATH 200 [Min Grade: D]","An intermediate treatment of classical mechanics and dynamics. Topics will include central forces, oscillatory motion, Lagrangian and Hamiltonian mechanics, phase space, and collisions."
PHYS 312,"Classical Mechanics II",4.0,"PHYS 311 [Min Grade: D]","Covers motion of system of particles, center of mass and conservation of linear momentum, description of collisions, Rutherford scattering, dynamics of rigid bodies, coordinate systems, the restricted three-body problem, generalized coordinates, Lagrange's equations and Hamilton's equations, and rotation of frame."
PHYS 317,"Statistical Mechanics",3.0,"(PHYS 217 [Min Grade: D] or CHEM 253 [Min Grade: D] or ENGR 210 [Min Grade: D]) and MATH 200 [Min Grade: D]","Covers distribution molecular velocities, transport phenomena, Maxwell-Boltzmann statistics, and quantum statistics."
PHYS 321,"Electromagnetic Fields I",4.0,"PHYS 115 [Min Grade: D] or PHYS 102 [Min Grade: D]","Covers fields due to specified charge distributions, Gauss' law, multipole expansion of the fields, Laplace's equation, method of images, dielectrics, and energy of an electrostatic field."
PHYS 322,"Electromagnetic Fields II",4.0,"PHYS 321 [Min Grade: D]","Covers electric current, continuity equation, electromotive forces, magnetic fields, electromagnetic induction, magnetic properties of matter, Maxwell's equations, radiation, and radiation by moving charges."
PHYS 324,"Topics in Mathematical Physics",3.0,"No Prereq","This course presents the mathematical background needed for Thermodynamics, Classical Mechanics, Electricity & Magnetism, and Quantum Mechanics using the theory of linear vector spaces and the standard tools of elementary mathematical physics. Emphasis will be placed on the use of analytic and numerical programming techniques, using Maple, FORTRAN and C."
PHYS 325,"Computational Physics III",3.0,"PHYS 105 [Min Grade: D]","This is the third course in the Computational Physics sequence. It presents basic scientific programming techniques and problem-solving strategies, as applied to problems in electromagnetic theory and quantum mechanics. This hands-on focuses primarily on the solution of partial differential equations in physics, Monte-Carlo methods, and matrix methods, and includes solutions of Laplace's, Poisson's and Maxwell's equations, fields due to moving charges, Fast Fourier Transforms, and solutions of the time-independent and time-dependent Schroedinger equation."
PHYS 326,"Quantum Mechanics I",4.0,"PHYS 311 [Min Grade: D] and MATH 210 [Min Grade: D]","Explores the classical foundations of quantum mechanics, the Schrodinger equation, solutions of one-dimensional problems, and the one-dimensional harmonic oscillator."
PHYS 327,"Quantum Mechanics II",4.0,"PHYS 326 [Min Grade: D]","Covers the three-dimensional Schrodinger equation, angular momentum, matrix mechanics, the hydrogen atom, and perturbation theory."
PHYS 328   [WI],"Advanced Laboratory",3.0,"PHYS 223 [Min Grade: D] or PHYS 128 [Min Grade: D]","Requires students to perform advanced laboratory experiments in the various fields of physics. This is a writing intensive course."
PHYS 330,"Introduction to Nuclear Physics",2.0,"(PHYS 115 [Min Grade: D] or PHYS 201 [Min Grade: D]) and (MATH 210 [Min Grade: D] or ENGR 232 [Min Grade: D])","Provides an overview of nuclear physics; including nuclear structure; nuclear stability; radioactivity and nuclear decay; nuclear forces and interactions; fission and fusion; and the interaction of particles with matter. A small amount of quantum mechanics will be included."
PHYS 405,"Advanced Computational Physics",3.0,"PHYS 305 [Min Grade: C]","Covers the application of computational techniques to one or more research topics of current interest, including grid-based solutions of partial differential equations in one and two dimensions and particle methods in fluid mechanics. Introduces high-performance computation and massively parallel computing platforms."
PHYS 408,"Physics Seminar",1.0,"No Prereq","Requires participation in weekly departmental colloquium."
PHYS 428,"Quantum Mechanics III",4.0,"PHYS 327 [Min Grade: D]","Advanced topics in quantum mechanics including spin, addition of angular momentum, scattering theory, relativistic quantum mechanics, atoms and molecules, and radiation from atoms."
PHYS 431,"Galactic Astrophysics",3.0,"PHYS 311 [Min Grade: D]","This course presents an introduction to the processes responsible for the formation, structure, evolution, and present-day appearance of the Milky Way and other galaxies. Using the Milky Way Galaxy as a guide, we will develop analytical and numerical tools to help us understand of the properties of these magnificent objects, near and far. Topics will include stars, stellar formation, and stellar evolution, galactic structure and dynamics, and galaxy formation and evolution."
PHYS 432,"Cosmology",3.0,"PHYS 311 [Min Grade: D]","Covers cosmological models, age and distance scales in the universe, the hot big bang, primordial nucleosyntesis, inflation, baryonic and non-baryonic matter, galaxy formation and evolution, dynamics of structure formation, statistics of cosmological density fields, and cosmic background fluctuations."
PHYS 433,"General Relativity",3.0,"PHYS 321 [Min Grade: C-] or PHYS 233 [Min Grade: C-]","Covers particle and field dynamics in general relativity, tensor calculus, and develops and solves Einstein's field equations. Particular solutions considered will include black holes, gravitational waves, and cosmological solutions to general relativity."
PHYS 440,"Big Data Physics",3.0,"PHYS 115 [Min Grade: D] or CS 171 [Min Grade: D]","This course provides the framework for physics students at all levels to begin interacting with large data sets in physics. Data analysis will be done using Python tools, including standard libraries for machine learning. Practical application of classification and regression techniques for both unsupervised and supervised data are emphasized, in addition to dimensionality reduction techniques and time-domain analysis. An introduction to statistical methods, Bayesian inference, and Markov-chain Monte Carlo methods provide a foundation for application of machine learning tools."
PHYS 452,"Solid State Physics",3.0,"PHYS 317 [Min Grade: D] and PHYS 326 [Min Grade: D]","Atomic basis of the physical properties of materials, including crystalline and non-crystalline solids. Detailed introductory treatment of the structural, vibrational, and electronic properties of solid and their inter-relationships. Overview of other materials, properties, and scientific basis of technological applications."
PHYS 453,"Nanoscience",3.0,"PHYS 311 [Min Grade: D] and PHYS 217 [Min Grade: D]","Scientific basis of nanoscale materials and systems including discussions of low-dimensional structures and their physical properties, the self-assembly of nanostructures, applications in various fields of science and technology, and techniques for fabrication and characterization on the nanoscale."
PHYS 461,"Biophysics",3.0,"PHYS 317 [Min Grade: D]","A one course introduction to biological physics. Topics may include: structure of biomolecules, protein stability, electron transfer, protein folding, protein substrates, allostery, and self-assembly. No biological background is presumed."
PHYS 462,"Computational Biophysics",3.0,"PHYS 105 [Min Grade: D] and PHYS 217 [Min Grade: D] and MATH 210 [Min Grade: D]","This course involves mathematical applications of biological simulations. Using classical and statistical mechanics, we will cover topics including atomic scale simulations, statistical sampling and models of molecular cellular systems and living processes."
PHYS 476,"Particle Physics",3.0,"PHYS 327 [Min Grade: D]","This course will provide an introduction to the physics of fundamental particles. Topics including the fundamental forces, quarks and leptons, Feynman diagrams, symmetries and conservation laws, relativistic kinematics, bound states, and experimental methods."
PHYS 479,"The Standard Model",3.0,"PHYS 327 [Min Grade: C-] or CHEM 355 [Min Grade: C-] or MATE 351 [Min Grade: C-]","This class will focus on classical fields in general, as well as the relationship between classical and quantum fields. It will include discussions of special relativity, group theory, and simple lie groups, as well as the theoretical development of electromagnetism, the weak, and strong forces. The course will develop electroweak unification in particular, and unified theories in general. It will conclude with a discussion of Grand Unified Theories."
PHYS 485,"Research",0.0-3.0,"No Prereq","Covers research problems in physics."
PHYS 491,"Senior Research I",3.0,"No Prereq","A three-term sequence devoted to theoretical or experimental activities in a specific area of physics or atmospheric science to be chosen in consultation with a faculty adviser. Requires students to learn to identify interesting problems, develop a plan of attack, and carry the project to completion. Requires written and oral report at the end of the third term."
PHYS 492,"Senior Research II",3.0,"PHYS 491 [Min Grade: D]","Continues PHYS 491."
PHYS 493   [WI],"Senior Research III",3.0,"PHYS 492 [Min Grade: D]","Continues PHYS 492. This is a writing intensive course."
PHYS I199,"Independent Study in PHYS",0.0-12.0,"No Prereq","Self-directed within the area of study requiring intermittent consultation with a designated instructor."
